GSE,GSM,age,sex
GSE56033,GSM1355821,24,M
GSE56033,GSM1355822,24,M
GSE56033,GSM1355823,33,F
GSE56033,GSM1355824,51,M
GSE56033,GSM1355825,26,F
GSE56033,GSM1355826,21,F
GSE56033,GSM1355827,21,F
GSE56033,GSM1355828,21,F
GSE56033,GSM1355829,32,M
GSE56033,GSM1355830,30,F
GSE56033,GSM1355831,21,M
GSE56033,GSM1355832,26,F
GSE56033,GSM1355833,25,F
GSE56033,GSM1355834,20,F
GSE56033,GSM1355835,50,F
GSE56033,GSM1355836,20,F
GSE56033,GSM1355837,22,F
GSE56033,GSM1355838,29,F
GSE56033,GSM1355839,30,M
GSE56033,GSM1355840,30,M
GSE56033,GSM1355841,31,F
GSE56033,GSM1355842,37,M
GSE56033,GSM1355843,21,F
GSE56033,GSM1355844,26,F
GSE56033,GSM1355845,30,F
GSE56033,GSM1355846,42,M
GSE56033,GSM1355847,19,M
GSE56033,GSM1355848,24,F
GSE56033,GSM1355849,23,F
GSE56033,GSM1355850,28,F
GSE56033,GSM1355851,19,M
GSE56033,GSM1355852,38,M
GSE56033,GSM1355853,20,F
GSE56033,GSM1355854,36,F
GSE56033,GSM1355855,35,M
GSE56033,GSM1355856,41,M
GSE56033,GSM1355857,41,M
GSE56033,GSM1355858,21,M
GSE56033,GSM1355859,21,M
GSE56033,GSM1355860,34,M
GSE56033,GSM1355861,27,F
GSE56033,GSM1355862,22,F
GSE56033,GSM1355863,28,M
GSE56033,GSM1355864,24,F
GSE30483,GSM755408,45,M
GSE30483,GSM755409,55,F
GSE30483,GSM755410,54,M
GSE30483,GSM755411,52,M
GSE30483,GSM755412,58,M
GSE30483,GSM755413,18,M
GSE30483,GSM755414,30,M
GSE30483,GSM755415,48,M
GSE30483,GSM755416,27,M
GSE30483,GSM755417,26,M
GSE30483,GSM755418,28,M
GSE30483,GSM755419,39,M
GSE30483,GSM755420,50,F
GSE30483,GSM755421,44,M
GSE30483,GSM755422,49,F
GSE30483,GSM755423,36,M
GSE30483,GSM755424,44,M
GSE30483,GSM755425,45,M
GSE30483,GSM755426,43,M
GSE30483,GSM755427,23,M
GSE30483,GSM755428,28,M
GSE30483,GSM755429,52,M
GSE30483,GSM755430,39,M
GSE30483,GSM755431,49,M
GSE30483,GSM755432,46,F
GSE30483,GSM755433,24,M
GSE30483,GSM755434,67,M
GSE30483,GSM755435,32,M
GSE30483,GSM755436,40,M
GSE30483,GSM755437,37,M
GSE30483,GSM755438,27,M
GSE30483,GSM755439,52,M
GSE30483,GSM755440,38,M
GSE30483,GSM755441,42,M
GSE30483,GSM755442,44,M
GSE30483,GSM755443,20,M
GSE30483,GSM755444,66,M
GSE30483,GSM755445,44,M
GSE30483,GSM755446,33,F
GSE30483,GSM755447,32,F
GSE30483,GSM755448,34,F
GSE30483,GSM755449,46,F
GSE30483,GSM755450,23,F
GSE30483,GSM755451,39,F
GSE30483,GSM755452,46,M
GSE30483,GSM755453,22,M
GSE30483,GSM755454,29,M
GSE30483,GSM755455,55,F
GSE30483,GSM755456,25,F
GSE30483,GSM755457,53,F
GSE30483,GSM755458,27,M
GSE30483,GSM755459,44,F
GSE30483,GSM755460,40,F
GSE30483,GSM755461,50,F
GSE30483,GSM755462,21,M
GSE30483,GSM755463,40,M
GSE30483,GSM755464,41,F
GSE30483,GSM755465,24,M
GSE30483,GSM755466,25,F
GSE30483,GSM755467,22,M
GSE30483,GSM755468,59,F
GSE30483,GSM755469,60,M
GSE30483,GSM755470,25,M
GSE30483,GSM755471,27,M
GSE30483,GSM755472,59,F
GSE30483,GSM755473,21,M
GSE30483,GSM755474,22,F
GSE30483,GSM755475,19,F
GSE30483,GSM755476,46,F
GSE30483,GSM755477,29,M
GSE30483,GSM755478,53,F
GSE30483,GSM755479,65,M
GSE30483,GSM755480,27,M
GSE30483,GSM755481,46,F
GSE30483,GSM755482,25,F
GSE30483,GSM755483,42,M
GSE30483,GSM755484,29,F
GSE30483,GSM755485,46,F
GSE30483,GSM755486,48,M
GSE30483,GSM755487,43,M
GSE68759,GSM1680592,64,M
GSE68759,GSM1680593,63,F
GSE68759,GSM1680594,62,F
GSE68759,GSM1680595,52,F
GSE68759,GSM1680596,45,F
GSE68759,GSM1680597,48,M
GSE68759,GSM1680598,58,F
GSE68759,GSM1680599,64,M
GSE68759,GSM1680600,64,F
GSE68759,GSM1680601,44,M
GSE68759,GSM1680602,58,F
GSE68759,GSM1680603,56,F
GSE68759,GSM1680604,37,F
GSE68759,GSM1680605,53,M
GSE68759,GSM1680606,43,F
GSE68759,GSM1680607,33,M
GSE68759,GSM1680608,59,F
GSE68759,GSM1680609,53,F
GSE68759,GSM1680610,61,F
GSE68759,GSM1680611,61,F
GSE68759,GSM1680612,63,F
GSE68759,GSM1680613,43,F
GSE68759,GSM1680614,60,M
GSE68759,GSM1680615,64,M
GSE68759,GSM1680616,49,M
GSE68759,GSM1680617,65,F
GSE68759,GSM1680618,47,F
GSE68759,GSM1680619,58,F
GSE68759,GSM1680620,41,F
GSE68759,GSM1680621,60,F
GSE68759,GSM1680622,57,M
GSE68759,GSM1680623,54,M
GSE68759,GSM1680624,58,M
GSE68759,GSM1680625,57,F
GSE68759,GSM1680626,45,F
GSE68759,GSM1680627,52,F
GSE68759,GSM1680628,56,F
GSE68759,GSM1680629,61,F
GSE68759,GSM1680630,56,F
GSE68759,GSM1680631,41,M
GSE68759,GSM1680632,53,F
GSE68759,GSM1680633,54,F
GSE68759,GSM1680634,64,F
GSE68759,GSM1680635,48,F
GSE68759,GSM1680636,55,F
GSE68759,GSM1680637,62,M
GSE68759,GSM1680638,59,M
GSE68759,GSM1680639,57,F
GSE68759,GSM1680640,54,F
GSE68759,GSM1680641,60,M
GSE68759,GSM1680642,39,F
GSE68759,GSM1680643,58,F
GSE68759,GSM1680644,65,M
GSE68759,GSM1680645,50,F
GSE68759,GSM1680646,62,F
GSE68759,GSM1680647,48,M
GSE68759,GSM1680648,59,M
GSE68759,GSM1680649,64,F
GSE68759,GSM1680650,48,M
GSE68759,GSM1680651,50,F
GSE68759,GSM1680652,62,F
GSE68759,GSM1680653,65,F
GSE68759,GSM1680654,60,F
GSE68759,GSM1680655,55,F
GSE68759,GSM1680656,31,F
GSE68759,GSM1680657,41,F
GSE68759,GSM1680742,61,F
GSE68759,GSM1680743,61,F
GSE68759,GSM1680744,63,F
GSE68759,GSM1680745,43,F
GSE68759,GSM1680746,60,M
GSE68759,GSM1680747,64,M
GSE68759,GSM1680748,49,M
GSE68759,GSM1680749,65,F
GSE68759,GSM1680750,47,F
GSE68759,GSM1680751,58,F
GSE68759,GSM1680752,41,F
GSE68759,GSM1680753,60,F
GSE68759,GSM1680754,57,M
GSE68759,GSM1680755,54,M
GSE68759,GSM1680756,58,M
GSE68759,GSM1680757,57,F
GSE68759,GSM1680758,45,F
GSE68759,GSM1680759,52,F
