"GSE","GSM","age","sex"
"GSE56033","GSM1351262",24,"F"
"GSE56033","GSM1351263",34,"F"
"GSE56033","GSM1351264",33,"M"
"GSE56033","GSM1351265",28,"F"
"GSE56033","GSM1351266",51,"M"
"GSE56033","GSM1351267",37,"M"
"GSE56033","GSM1351268",51,"M"
"GSE56033","GSM1351269",34,"F"
"GSE56033","GSM1351270",23,"M"
"GSE56033","GSM1351271",47,"M"
"GSE56033","GSM1351272",34,"M"
"GSE56033","GSM1351273",34,"F"
"GSE56033","GSM1351274",30,"F"
"GSE56033","GSM1351275",32,"M"
"GSE56033","GSM1351276",46,"F"
"GSE56033","GSM1351277",29,"M"
"GSE56033","GSM1351278",29,"F"
"GSE56033","GSM1351279",28,"F"
"GSE56033","GSM1351280",41,"M"
"GSE56033","GSM1351281",50,"M"
"GSE56033","GSM1351282",32,"F"
"GSE56033","GSM1351283",21,"M"
"GSE56033","GSM1351284",26,"F"
"GSE56033","GSM1351285",25,"M"
"GSE56033","GSM1351286",47,"M"
"GSE56033","GSM1351287",21,"F"
"GSE56033","GSM1351288",20,"F"
"GSE56033","GSM1351289",21,"F"
"GSE56033","GSM1351290",28,"M"
"GSE56033","GSM1351291",28,"F"
"GSE56033","GSM1351292",44,"F"
"GSE56033","GSM1351293",32,"M"
"GSE56033","GSM1351294",42,"F"
"GSE56033","GSM1351295",24,"M"
"GSE56033","GSM1351296",23,"F"
"GSE56033","GSM1351297",20,"M"
"GSE56033","GSM1351298",20,"M"
"GSE56033","GSM1351299",21,"F"
"GSE56033","GSM1351300",32,"F"
"GSE56033","GSM1351301",18,"M"
"GSE56033","GSM1351302",19,"F"
"GSE56033","GSM1351303",42,"M"
"GSE56033","GSM1351304",40,"F"
"GSE56033","GSM1351305",21,"F"
"GSE56033","GSM1351306",33,"F"
"GSE56033","GSM1351307",46,"F"
"GSE56033","GSM1351308",46,"F"
"GSE56033","GSM1355819",38,"M"
"GSE56033","GSM1355820",42,"M"
"GSE56033","GSM1355821",24,"M"
"GSE56033","GSM1355822",24,"M"
"GSE56033","GSM1355823",33,"F"
"GSE56033","GSM1355824",51,"M"
"GSE56033","GSM1355825",26,"F"
"GSE56033","GSM1355826",21,"F"
"GSE56033","GSM1355827",21,"F"
"GSE56033","GSM1355828",21,"F"
"GSE56033","GSM1355829",32,"M"
"GSE56033","GSM1355830",30,"F"
"GSE56033","GSM1355831",21,"M"
"GSE56033","GSM1355832",26,"F"
"GSE56033","GSM1355833",25,"F"
"GSE56033","GSM1355834",20,"F"
"GSE56033","GSM1355835",50,"F"
"GSE56033","GSM1355836",20,"F"
"GSE56033","GSM1355837",22,"F"
"GSE56033","GSM1355838",29,"F"
"GSE56033","GSM1355839",30,"M"
"GSE56033","GSM1355840",30,"M"
"GSE56033","GSM1355841",31,"F"
"GSE56033","GSM1355842",37,"M"
"GSE56033","GSM1355843",21,"F"
"GSE56033","GSM1355844",26,"F"
"GSE56033","GSM1355845",30,"F"
"GSE56033","GSM1355846",42,"M"
"GSE56033","GSM1355847",19,"M"
"GSE56033","GSM1355848",24,"F"
"GSE56033","GSM1355849",23,"F"
"GSE56033","GSM1355850",28,"F"
"GSE56033","GSM1355851",19,"M"
"GSE56033","GSM1355852",38,"M"
"GSE56033","GSM1355853",20,"F"
"GSE56033","GSM1355854",36,"F"
"GSE56033","GSM1355855",35,"M"
"GSE56033","GSM1355856",41,"M"
"GSE56033","GSM1355857",41,"M"
"GSE56033","GSM1355858",21,"M"
"GSE56033","GSM1355859",21,"M"
"GSE56033","GSM1355860",34,"M"
"GSE56033","GSM1355861",27,"F"
"GSE56033","GSM1355862",22,"F"
"GSE56033","GSM1355863",28,"M"
"GSE56033","GSM1355864",24,"F"
"GSE56047","GSM1352002",59,NA
"GSE56047","GSM1352003",63,NA
"GSE56047","GSM1352004",71,NA
"GSE56047","GSM1352005",72,NA
"GSE56047","GSM1352006",48,NA
"GSE56047","GSM1352007",60,NA
"GSE56047","GSM1352008",71,NA
"GSE56047","GSM1352009",59,NA
"GSE56047","GSM1352010",52,NA
"GSE56047","GSM1352011",61,NA
"GSE56047","GSM1352012",67,NA
"GSE56047","GSM1352013",52,NA
"GSE56047","GSM1352014",67,NA
"GSE56047","GSM1352015",75,NA
"GSE56047","GSM1352016",55,NA
"GSE56047","GSM1352017",57,NA
"GSE56047","GSM1352018",66,NA
"GSE56047","GSM1352019",58,NA
"GSE56047","GSM1352020",63,NA
"GSE56047","GSM1352021",59,NA
"GSE56047","GSM1352022",66,NA
"GSE56047","GSM1352023",54,NA
"GSE56047","GSM1352024",51,NA
"GSE56047","GSM1352025",71,NA
"GSE56047","GSM1352026",60,NA
"GSE56047","GSM1352027",69,NA
"GSE56047","GSM1352028",69,NA
"GSE56047","GSM1352029",52,NA
"GSE56047","GSM1352030",68,NA
"GSE56047","GSM1352031",50,NA
"GSE56047","GSM1352032",68,NA
"GSE56047","GSM1352033",71,NA
